date,PMI,VIX_Open,VIX_High,VIX_Low,VIX_Close,SPX_Open,SPX_High,SPX_Low,SPX_Close
12/1/1981,37.8,NaN,NaN,NaN,NaN,126.08,127.32,121.04,122.55
1/1/1982,38.2,NaN,NaN,NaN,NaN,122.64,123.72,113.63,120.4
2/1/1982,38.3,NaN,NaN,NaN,NaN,118.24,119.81,110.71,113.11
3/1/1982,36.8,NaN,NaN,NaN,NaN,113.16,114.8,104.46,111.96
4/1/1982,37.8,NaN,NaN,NaN,NaN,113.16,120.6,111.48,116.44
5/1/1982,35.5,NaN,NaN,NaN,NaN,115.96,119.92,110.75,111
6/1/1982,38.3,NaN,NaN,NaN,NaN,111.97,112.19,107.17,109.61
7/1/1982,38.4,NaN,NaN,NaN,NaN,109.52,113,105.57,107.09
8/1/1982,38.3,NaN,NaN,NaN,NaN,107.71,120.26,102.2,119.51
9/1/1982,38.8,NaN,NaN,NaN,NaN,119.52,126.43,117.84,120.42
10/1/1982,39.4,NaN,NaN,NaN,NaN,120.4,140.4,120.15,133.72
11/1/1982,39.2,NaN,NaN,NaN,NaN,133.72,144.36,131.4,138.53
12/1/1982,42.8,NaN,NaN,NaN,NaN,138.56,143.68,134.79,140.64
1/1/1983,46,NaN,NaN,NaN,NaN,140.65,148.36,138.08,145.3
2/1/1983,54.4,NaN,NaN,NaN,NaN,145.29,152.65,141.9,148.05
3/1/1983,53.9,NaN,NaN,NaN,NaN,148.07,155.02,148.07,152.96
4/1/1983,54.2,NaN,NaN,NaN,NaN,153.85,164.43,150.17,164.43
5/1/1983,56.1,NaN,NaN,NaN,NaN,164.41,166.99,160.29,162.39
6/1/1983,57.5,NaN,NaN,NaN,NaN,162.38,171.6,160.8,168.11
7/1/1983,63.6,NaN,NaN,NaN,NaN,168.12,171.4,161.5,162.56
8/1/1983,63.1,NaN,NaN,NaN,NaN,162.34,165.8,158.5,164.4
9/1/1983,62.5,NaN,NaN,NaN,NaN,164.4,170.41,163.95,166.07
10/1/1983,64.4,NaN,NaN,NaN,NaN,166.07,172.65,162.86,163.55
11/1/1983,66,NaN,NaN,NaN,NaN,163.55,168.6,161.63,166.39
12/1/1983,69.9,NaN,NaN,NaN,NaN,166.4,168.05,161.58,164.93
1/1/1984,60.5,NaN,NaN,NaN,NaN,168.3,170.95,162.03,163.42
2/1/1984,61.3,NaN,NaN,NaN,NaN,163.43,164,152.13,157.06
3/1/1984,58.9,NaN,NaN,NaN,NaN,157.07,160.46,153.77,159.18
4/1/1984,61,NaN,NaN,NaN,NaN,159.19,161.45,154.12,160.04
5/1/1984,58.6,NaN,NaN,NaN,NaN,160.07,162.11,148.68,150.55
6/1/1984,58.1,NaN,NaN,NaN,NaN,150.55,155.64,148.53,153.18
7/1/1984,56.1,NaN,NaN,NaN,NaN,153.21,156.3,147.26,150.66
8/1/1984,53,NaN,NaN,NaN,NaN,150.66,168.79,150.66,166.68
9/1/1984,50,NaN,NaN,NaN,NaN,166.9,170.1,163.06,166.1
10/1/1984,50.8,NaN,NaN,NaN,NaN,166.07,169.62,160.02,166.09
11/1/1984,50.3,NaN,NaN,NaN,NaN,166.1,170.41,162.99,163.58
12/1/1984,50.6,NaN,NaN,NaN,NaN,163.57,171.8,161.54,167.24
1/1/1985,50.3,NaN,NaN,NaN,NaN,167.2,180.27,163.36,179.63
2/1/1985,49.9,NaN,NaN,NaN,NaN,179.6,183.95,177.75,181.18
3/1/1985,47.8,NaN,NaN,NaN,NaN,181.18,183.89,176.53,180.66
4/1/1985,48.2,NaN,NaN,NaN,NaN,180.66,184.85,177.86,179.83
5/1/1985,47.1,NaN,NaN,NaN,NaN,179.86,190.55,178.35,189.57
6/1/1985,47.8,NaN,NaN,NaN,NaN,189.56,191.85,185.03,191.85
7/1/1985,47.9,NaN,NaN,NaN,NaN,191.82,196.07,189.3,190.92
8/1/1985,47.7,NaN,NaN,NaN,NaN,190.91,192.17,186.12,188.63
