time,open,high,low,close,"UL, NYSE: Open","UL, NYSE: High","UL, NYSE: Low","UL, NYSE: Close","XOM, NYSE: Open","XOM, NYSE: High","XOM, NYSE: Low","XOM, NYSE: Close","HD, NYSE: Open","HD, NYSE: High","HD, NYSE: Low","HD, NYSE: Close","PG, NYSE: Open","PG, NYSE: High","PG, NYSE: Low","PG, NYSE: Close","UNH, NYSE: Open","UNH, NYSE: High","UNH, NYSE: Low","UNH, NYSE: Close","WMT, NYSE: Open","WMT, NYSE: High","WMT, NYSE: Low","WMT, NYSE: Close"
1986-01-01T14:30:00Z,3.28125,3.375,3.078125,3.359375,2.263907,2.347241,2.111128,2.166684,6.890625,7.015625,6.1875,6.46875,0.274358,0.282589,0.235948,0.274358,4.326954,4.350218,3.954743,4.086568,0.320313,0.40625,0.296875,0.398438,1.992188,2.078125,1.820313,2.007813
1986-02-03T14:30:00Z,3.359375,3.4375,2.953125,3.109375,2.138906,2.333352,2.138906,2.208351,6.46875,6.84375,6.046875,6.53125,0.274358,0.326486,0.26064,0.318255,4.086568,4.303691,4.00127,4.280428,0.398438,0.445313,0.386719,0.433594,2.007813,2.140625,1.875,2.125
1986-03-03T14:30:00Z,3.109375,3.65625,3.007813,3.585938,2.236129,2.708355,2.236129,2.67016,6.53125,7.140625,6.453125,6.96875,0.318255,0.37587,0.310025,0.353922,4.280428,4.768955,4.117586,4.567341,0.433594,0.488281,0.414063,0.46875,2.125,2.5625,2.125,2.460938
1986-04-01T14:30:00Z,3.585938,4.335938,3.304688,4.117188,2.642382,2.91669,2.472242,2.833356,6.96875,7.328125,6.765625,7.078125,0.353922,0.400563,0.312768,0.353922,4.567341,4.815481,4.420007,4.559586,0.46875,0.496094,0.421875,0.441406,2.460938,2.679688,2.25,2.53125
1986-05-01T13:30:00Z,4.09375,4.40625,4,4.273438,2.805578,2.847245,2.63891,2.7778,7.078125,7.515625,7,7.484375,0.353922,0.466409,0.345691,0.452691,4.559586,4.947306,4.412253,4.83099,0.441406,0.457031,0.367188,0.445313,2.515625,3.109375,2.4375,2.992188
1986-06-02T13:30:00Z,4.257813,4.609375,4.101563,4.539063,2.750022,2.875023,2.694466,2.875023,7.484375,7.703125,7.3125,7.609375,0.452691,0.477383,0.427999,0.477383,4.83099,5.001587,4.613867,4.970569,0.445313,0.472656,0.355469,0.394531,2.992188,3.273438,2.9375,3.242188
1986-07-01T13:30:00Z,4.539063,4.554688,4.023438,4.257813,2.902801,3.125025,2.770856,2.847245,7.609375,7.6875,7.1875,7.59375,0.477383,0.477383,0.348435,0.36764,4.970569,5.117903,4.474288,4.799973,0.398438,0.441406,0.347656,0.351563,3.242188,3.367188,2.695313,2.90625
1986-08-01T13:30:00Z,4.257813,4.640625,4.1875,4.617188,2.85419,3.250026,2.85419,3.166692,7.59375,8.71875,7.5,8.609375,0.36764,0.449947,0.364896,0.436229,4.799973,5.001587,4.652639,4.962815,0.351563,0.355469,0.285156,0.308594,2.90625,2.976563,2.726563,2.9375
1986-09-01T13:30:00Z,4.617188,4.617188,3.765625,4,3.19447,3.250026,2.868079,2.902801,8.609375,8.90625,8.046875,8.40625,0.436229,0.44446,0.362153,0.373127,4.962815,4.993833,4.086568,4.202884,0.308594,0.320313,0.269531,0.289063,2.9375,2.953125,2.445313,2.625
1986-10-01T13:30:00Z,4,4.382813,3.867188,4.359375,2.91669,3.048636,2.91669,2.972246,8.40625,8.578125,8.1875,8.5,0.373127,0.414281,0.364896,0.403306,4.202884,4.70692,4.187375,4.652639,0.289063,0.292969,0.234375,0.269531,2.625,2.882813,2.625,2.804688
